Paid Price,Postcode,Type,LSOA,total_floor_area_m2,Employment,Health,Crime,Income,Education,Address
445000,EN3 5PZ,T,E01001441,65,3648,17764,4881,56427,47.5,37 LEDA AVENUE
465000,EN3 6AH,T,E01001442,95,2179,5761,4215,58599,47.5,58 BEACONSFIELD ROAD
455000,EN3 6JU,T,E01001444,74,10365,21088,13872,63649,47.5,26A BEDFORD CRESCENT
375000,EN3 6LQ,S,E01001444,64,10365,21088,13872,63649,47.5,27 VIAN AVENUE
500000,EN3 6JN,T,E01001445,119,6207,15464,10846,70211,47.5,3E GOVERNMENT ROW
500000,EN3 6JN,T,E01001445,119,6207,15464,10846,70211,47.5,3 GOVERNMENT ROW
227000,EN3 6YF,F,E01001445,46,6207,15464,10846,70211,47.5,15 POLSTEN MEWS
450000,BA3 4HB,D,E01029024,192,22965,28061,31030,58591,43.2,PENTLANDS THE STREET
379995,EN3 6NF,T,E01001446,66,6034,14827,12623,63649,47.5,48 TOTTERIDGE ROAD
449000,EN3 6SX,T,E01001446,93,6034,14827,12623,63649,47.5,9 CHESTNUT ROAD
270000,BA4 4HG,T,E01029063,54,23201,28305,21550,47872,43.2,12 NALDER CLOSE
285000,EN3 6DH,F,E01001447,52,2301,10463,5536,70211,47.5,6 FERNDALE ROAD
200000,BA4 5EJ,T,E01029064,65,19462,24116,19830,57578,43.2,2 GOLD HILL
178000,BA4 5LP,D,E01029064,101,19462,24116,19830,57578,43.2,15 LOWER LANE
291500,BA4 5PN,S,E01029064,125,19462,24116,19830,57578,43.2,9 WHITSTONE ROAD
327500,BA4 5PQ,D,E01029064,86,19462,24116,19830,57578,43.2,8 CHARLTON CLOSE
716300,EN3 6AG,T,E01001448,92,6166,15514,11805,70211,47.5,97B ORDNANCE ROAD
460000,EN3 6AN,D,E01001448,84,6166,15514,11805,70211,47.5,45 ROTHERFIELD ROAD
270000,BA4 5GB,S,E01029065,97,26868,28520,32705,47872,43.2,20 MISBURG CLOSE
485000,BA4 5XN,D,E01029065,127,26868,28520,32705,47872,43.2,7 OLD WELLS ROAD
425000,EN3 6EF,T,E01001449,89,7058,14938,12821,70211,47.5,59 NEWBURY AVENUE
425000,EN3 6EF,T,E01001449,89,7058,14938,12821,70211,47.5,92 NEWBURY AVENUE
425000,EN3 6EL,T,E01001449,82,7058,14938,12821,70211,47.5,7 LYTTON AVENUE
169950,BA4 5TE,T,E01029067,49,10917,13887,17796,47872,43.2,32 BERRYMAN CLOSE
202500,BA4 5UP,F,E01029066,87,10732,16836,17143,47872,43.2,15 CORNWALL ROAD
305000,BA4 5XF,S,E01029066,77,10732,16836,17143,47872,43.2,45 SOUTHFIELD ROAD
400000,EN1 2BX,T,E01001455,150,23863,29526,24904,80117,47.5,63 FAVERSHAM AVENUE
487000,BA5 1FT,D,E01029081,125,13505,19874,5641,46480,43.2,26 KNIGHT ROAD
200000,BA5 2HG,F,E01029081,67,13505,19874,5641,46480,43.2,26 WEST STREET
241500,BA5 2BS,S,E01029079,53,4470,8578,14900,46480,43.2,27 DURKHEIM DRIVE
347000,BA5 2FW,S,E01029079,101,4470,8578,14900,46480,43.2,34 LETHBRIDGE ROAD
238000,BA5 2DQ,T,E01029080,54,17678,18698,23518,46480,43.2,9 SEREL DRIVE
380000,BA5 2JU,T,E01029080,108,17678,18698,23518,46480,43.2,10 OLD MILL WAY
320000,BA5 2GH,S,E01029083,88,29148,30060,32853,58029,43.2,17 FELTHAM CLOSE
